                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    139,                0.00071,                      1,                      1,                  1.165,             0.00011338,             0.00011338,             0.00011338
                    140,                0.00084,                      1,                      1,                  1.165,             0.00011019,             0.00011019,             0.00011019
                    141,                0.00062,                      1,                      1,                  1.165,             0.00010702,             0.00010702,             0.00010702
                    142,                0.00054,                      1,                      1,                  1.165,              0.0001039,              0.0001039,              0.0001039
                    143,                0.00019,                      1,                      1,                  1.165,             0.00010081,             0.00010081,             0.00010081
                    144,                0.00075,                      1,                      1,                  1.165,             9.7752e-05,             9.7752e-05,             9.7752e-05
                    145,                0.00138,                      1,                      1,                  1.165,             9.4738e-05,             9.4738e-05,             9.4738e-05
                    146,                0.00288,                      1,                      1,                  1.165,             9.1762e-05,             9.1762e-05,             9.1762e-05
                    147,                 0.0014,                      1,                      1,                  1.165,             8.8825e-05,             8.8825e-05,             8.8825e-05
                    148,                0.00153,                      1,                      1,                  1.165,             8.5929e-05,             8.5929e-05,             8.5929e-05
                    149,                0.00103,                      1,                      1,                  1.165,             8.3075e-05,             8.3075e-05,             8.3075e-05
                    150,                0.00131,                      1,                      1,                  1.165,             8.0262e-05,             8.0262e-05,             8.0262e-05
                    151,                0.00162,                      1,                      1,                  1.165,             7.7491e-05,             7.7491e-05,             7.7491e-05
                    152,                0.00371,                      1,                      1,                  1.165,             7.4764e-05,             7.4764e-05,             7.4764e-05
                    153,                0.00088,                      1,                      1,                  1.165,              7.208e-05,              7.208e-05,              7.208e-05
                    154,                0.00153,                      1,                      1,                  1.165,             6.9441e-05,             6.9441e-05,             6.9441e-05
                    155,                0.00075,                      1,                      1,                  1.165,             6.6848e-05,             6.6848e-05,             6.6848e-05
                    156,                0.00067,                      1,                      1,                  1.165,               6.43e-05,               6.43e-05,               6.43e-05
                    157,                0.00106,                      1,                      1,                  1.165,             6.1798e-05,             6.1798e-05,             6.1798e-05
                    158,                0.00157,                      1,                      1,                  1.165,             5.9343e-05,             5.9343e-05,             5.9343e-05
                    159,                0.00093,                      1,                      1,                  1.165,             5.6937e-05,             5.6937e-05,             5.6937e-05
                    160,                0.00134,                      1,                      1,                  1.165,             5.4578e-05,             5.4578e-05,             5.4578e-05
                    161,                0.00196,                      1,                      1,                  1.165,             5.2268e-05,             5.2268e-05,             5.2268e-05
                    162,                  0.001,                      1,                      1,                  1.165,             5.0008e-05,             5.0008e-05,             5.0008e-05
                    163,                0.00148,                      1,                      1,                  1.165,             4.7798e-05,             4.7798e-05,             4.7798e-05
                    164,                0.00052,                      1,                      1,                  1.165,             4.5638e-05,             4.5638e-05,             4.5638e-05
                    165,                0.00089,                      1,                      1,                  1.165,             4.3529e-05,             4.3529e-05,             4.3529e-05
                    166,                0.00027,                      1,                      1,                  1.165,             4.1472e-05,             4.1472e-05,             4.1472e-05
                    167,                 0.0003,                      1,                      1,                  1.165,             3.9466e-05,             3.9466e-05,             3.9466e-05
                    168,                0.00046,                      1,                      1,                  1.165,             3.7514e-05,             3.7514e-05,             3.7514e-05
                    169,                0.00018,                      1,                      1,                  1.165,             3.5614e-05,             3.5614e-05,             3.5614e-05
                    170,                0.00011,                      1,                      1,                  1.165,             3.3768e-05,             3.3768e-05,             3.3768e-05
                    171,                0.00027,                      1,                      1,                  1.165,             3.1976e-05,             3.1976e-05,             3.1976e-05
                    172,                0.00091,                      1,                      1,                  1.165,             3.0238e-05,             3.0238e-05,             3.0238e-05
                    173,                0.00094,                      1,                      1,                  1.165,             2.8555e-05,             2.8555e-05,             2.8555e-05
                    174,                0.00285,                      1,                      1,                  1.165,             2.6928e-05,             2.6928e-05,             2.6928e-05
                    175,                0.00032,                      1,                      1,                  1.165,             2.5356e-05,             2.5356e-05,             2.5356e-05
                    176,                0.00055,                      1,                      1,                  1.165,              2.384e-05,              2.384e-05,              2.384e-05
                    177,                0.00017,                      1,                      1,                  1.165,              2.238e-05,              2.238e-05,              2.238e-05
                    178,                0.00094,                      1,                      1,                  1.165,             2.0978e-05,             2.0978e-05,             2.0978e-05
                    179,                0.00016,                      1,                      1,                  1.165,             1.9632e-05,             1.9632e-05,             1.9632e-05
                    180,                0.00019,                      1,                      1,                  1.165,             1.8344e-05,             1.8344e-05,             1.8344e-05
                    181,                0.00029,                      1,                      1,                  1.165,             1.7114e-05,             1.7114e-05,             1.7114e-05
                    182,                0.00028,                      1,                      1,                  1.165,             1.5941e-05,             1.5941e-05,             1.5941e-05
                    183,                0.00017,                      1,                      1,                  1.165,             1.4827e-05,             1.4827e-05,             1.4827e-05
                    184,                  9e-05,                      1,                      1,                  1.165,             1.3772e-05,             1.3772e-05,             1.3772e-05
                    185,                0.00023,                      1,                      1,                  1.165,             1.2776e-05,             1.2776e-05,             1.2776e-05
                    186,                  9e-05,                      1,                      1,                  1.165,             1.1838e-05,             1.1838e-05,             1.1838e-05
                    187,                0.00031,                      1,                      1,                  1.165,             1.0961e-05,             1.0961e-05,             1.0961e-05
                    188,                0.00088,                      1,                      1,                  1.165,             1.0142e-05,             1.0142e-05,             1.0142e-05
                    189,                0.00025,                      1,                      1,                  1.165,             9.3839e-06,             9.3839e-06,             9.3839e-06
                    190,                0.00032,                      1,                      1,                  1.165,             8.6854e-06,             8.6854e-06,             8.6854e-06
                    191,                0.00052,                      1,                      1,                  1.165,             8.0471e-06,             8.0471e-06,             8.0471e-06
                    192,                0.00094,                      1,                      1,                  1.165,             7.4691e-06,             7.4691e-06,             7.4691e-06
                    193,                0.00017,                      1,                      1,                  1.165,             6.9516e-06,             6.9516e-06,             6.9516e-06
                    194,                0.00074,                      1,                      1,                  1.165,             6.4947e-06,             6.4947e-06,             6.4947e-06
                    195,                0.00054,                      1,                      1,                  1.165,             6.0984e-06,             6.0984e-06,             6.0984e-06
                    196,                0.00207,                      1,                      1,                  1.165,              5.763e-06,              5.763e-06,              5.763e-06
                    197,                0.00065,                      1,                      1,                  1.165,             5.4884e-06,             5.4884e-06,             5.4884e-06
                    198,                0.00112,                      1,                      1,                  1.165,             5.2748e-06,             5.2748e-06,             5.2748e-06
                    199,                0.00034,                      1,                      1,                  1.165,             5.1221e-06,             5.1221e-06,             5.1221e-06
                    200,                0.00071,                      1,                      1,                  1.165,             5.0305e-06,             5.0305e-06,             5.0305e-06
