                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.59265,                0.28332,                0.78714,                0.99897,                0.99983,                  0.995,                0.89095,                0.53554,                0.27974,                0.74353,             0.00039564,             0.00039564,             0.00039564
                     84,                0.58533,                0.28179,                0.78429,                0.99897,                0.99984,                  0.995,                0.89156,                0.53412,                0.27882,                0.74332,             0.00039328,             0.00039328,             0.00039328
                     85,                0.58248,                0.27929,                0.78651,                0.99897,                0.99987,                  0.995,                0.89132,                 0.5347,                0.27802,                 0.7432,              0.0003909,              0.0003909,              0.0003909
                     86,                    0.6,                0.28251,                0.78485,                0.99897,                0.99989,                  0.995,                0.89151,                0.53248,                0.27706,                0.74318,              0.0003885,              0.0003885,              0.0003885
                     87,                0.58349,                0.27865,                0.78518,                0.99897,                 0.9999,                  0.995,                0.89184,                0.53219,                 0.2766,                0.74297,             0.00038609,             0.00038609,             0.00038609
                     88,                0.58944,                 0.2756,                0.78762,                0.99897,                0.99991,                  0.995,                0.89223,                0.53165,                 0.2762,                0.74291,             0.00038366,             0.00038366,             0.00038366
                     89,                0.60593,                0.28255,                0.78529,                0.99897,                0.99993,                  0.995,                0.89302,                0.53014,                0.27592,                0.74279,              0.0003812,              0.0003812,              0.0003812
                     90,                0.56763,                0.27309,                0.78416,                0.99897,                0.99995,                  0.995,                0.89294,                0.52918,                0.27505,                0.74268,             0.00037874,             0.00037874,             0.00037874
                     91,                0.55996,                0.26884,                0.78522,                0.99897,                0.99995,                  0.995,                0.89319,                0.52943,                0.27415,                 0.7426,             0.00037625,             0.00037625,             0.00037625
                     92,                0.57027,                0.27055,                0.78417,                0.99897,                0.99994,                  0.995,                0.89386,                0.52851,                0.27274,                0.74244,             0.00037375,             0.00037375,             0.00037375
                     93,                0.56968,                 0.2725,                0.78423,                0.99897,                0.99989,                  0.995,                0.89439,                0.52695,                0.27252,                0.74241,             0.00037123,             0.00037123,             0.00037123
                     94,                0.56157,                0.26982,                0.78263,                0.99897,                0.99989,                  0.995,                0.89523,                0.52507,                0.27188,                0.74226,             0.00036869,             0.00036869,             0.00036869
                     95,                0.56041,                0.26822,                 0.7826,                0.99897,                0.99986,                  0.995,                0.89518,                0.52489,                0.27166,                0.74215,             0.00036614,             0.00036614,             0.00036614
                     96,                0.56866,                0.27135,                0.78367,                0.99897,                0.99984,                  0.995,                0.89532,                0.52482,                0.27048,                0.74207,             0.00036358,             0.00036358,             0.00036358
                     97,                0.56191,                0.26848,                0.78252,                0.99897,                0.99969,                  0.995,                0.89586,                0.52448,                0.26948,                0.74199,               0.000361,               0.000361,               0.000361
                     98,                0.55088,                0.26376,                0.78137,                0.99897,                0.99971,                  0.995,                0.89597,                0.52432,                0.26903,                0.74183,              0.0003584,              0.0003584,              0.0003584
                     99,                0.56011,                0.26359,                0.78245,                0.99944,                0.99966,                  0.995,                0.89667,                0.52386,                  0.269,                0.74172,             0.00035579,             0.00035579,             0.00035579
                    100,                0.56215,                0.26371,                0.78214,                0.99966,                 0.9999,                  0.995,                0.89683,                 0.5236,                0.26833,                0.74163,             0.00035317,             0.00035317,             0.00035317
