                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.44747,                 1.3166,                0.28707,                0.83515,                0.99326,                0.98807,                0.99272,                0.96195,                0.97091,                 0.9661,                0.97156,                0.66387,                0.28939,                 1.1679,                0.20185,                0.79934,             0.00033599,             0.00033599,             0.00033599
                     84,                0.44046,                 1.3099,                0.28293,                0.83677,                 0.9933,                0.98801,                0.99273,                0.96202,                0.97124,                0.96599,                0.97183,                0.66498,                0.28876,                  1.167,                0.20132,                0.79924,             0.00033249,             0.00033249,             0.00033249
                     85,                 0.4468,                 1.3161,                0.28642,                0.83415,                0.99344,                0.98792,                0.99274,                0.96243,                0.97187,                0.96669,                0.97296,                0.66576,                 0.2884,                 1.1677,                0.20061,                0.79927,             0.00032898,             0.00032898,             0.00032898
                     86,                0.44299,                 1.3161,                 0.2846,                0.83534,                 0.9935,                0.98761,                0.99249,                0.96239,                0.97205,                 0.9662,                0.97274,                0.66647,                0.28766,                 1.1669,                0.19993,                0.79908,             0.00032545,             0.00032545,             0.00032545
                     87,                0.44368,                 1.3028,                0.28301,                0.83284,                0.99327,                0.98755,                0.99227,                 0.9625,                0.97094,                0.96557,                0.97176,                0.66672,                 0.2874,                 1.1662,                0.19976,                0.79911,             0.00032191,             0.00032191,             0.00032191
                     88,                0.44053,                 1.3164,                0.28252,                0.83419,                0.99314,                0.98741,                0.99227,                0.96265,                0.97064,                0.96513,                 0.9716,                0.66691,                0.28695,                 1.1669,                 0.1994,                0.79884,             0.00031834,             0.00031834,             0.00031834
                     89,                0.43767,                 1.3004,                0.28105,                0.83406,                0.99401,                0.98722,                0.99228,                0.96283,                0.97129,                0.96498,                0.97152,                 0.6674,                0.28622,                 1.1686,                0.19807,                0.79875,             0.00031477,             0.00031477,             0.00031477
                     90,                0.44085,                 1.2943,                0.28215,                0.83406,                0.99336,                0.98708,                0.99227,                0.96323,                0.97078,                0.96493,                0.97175,                0.66744,                0.28549,                 1.1683,                0.19656,                0.79858,             0.00031118,             0.00031118,             0.00031118
                     91,                 0.4318,                 1.2902,                0.27722,                0.83418,                0.99284,                0.98738,                0.99227,                0.96292,                0.96991,                0.96488,                0.97153,                0.66769,                0.28409,                 1.1682,                0.19468,                0.79827,             0.00030757,             0.00030757,             0.00030757
                     92,                0.43714,                 1.2976,                0.27981,                0.83373,                0.99305,                0.98754,                0.99228,                0.96308,                0.97024,                0.96515,                0.97174,                0.66769,                 0.2833,                 1.1671,                 0.1938,                0.79811,             0.00030396,             0.00030396,             0.00030396
                     93,                0.43649,                 1.2933,                0.27988,                0.83158,                0.99326,                0.98759,                0.99228,                0.96336,                0.97016,                0.96497,                0.97158,                0.66759,                0.28274,                 1.1679,                0.19354,                0.79796,             0.00030033,             0.00030033,             0.00030033
                     94,                0.43593,                  1.294,                0.27894,                0.83295,                0.99322,                0.98746,                0.99228,                0.96313,                0.96998,                0.96473,                0.97161,                0.66795,                0.28253,                 1.1669,                0.19376,                0.79783,             0.00029669,             0.00029669,             0.00029669
                     95,                 0.4274,                 1.2756,                0.27361,                0.83179,                0.99272,                 0.9872,                0.99226,                0.96315,                 0.9701,                0.96467,                0.97217,                0.66793,                0.28228,                  1.167,                 0.1952,                0.79768,             0.00029304,             0.00029304,             0.00029304
                     96,                0.43378,                 1.2783,                  0.278,                0.83178,                0.99259,                0.98683,                0.99225,                0.96325,                0.96958,                0.96441,                0.97219,                0.66802,                0.28157,                 1.1671,                0.19266,                0.79754,             0.00028939,             0.00028939,             0.00028939
                     97,                0.42876,                 1.2645,                0.27461,                0.83121,                0.99239,                0.98646,                0.99226,                0.96367,                0.97043,                 0.9651,                0.97347,                0.66901,                0.28023,                 1.1666,                0.19398,                0.79735,             0.00028572,             0.00028572,             0.00028572
                     98,                0.42426,                 1.2665,                0.27161,                0.83044,                0.99371,                0.98604,                0.99225,                0.96335,                0.97129,                0.96469,                0.97344,                0.66918,                0.27986,                  1.165,                0.19355,                0.79722,             0.00028205,             0.00028205,             0.00028205
                     99,                0.42586,                 1.2758,                0.27333,                0.83042,                0.99406,                0.98608,                0.99227,                0.96282,                0.97228,                0.96483,                0.97381,                 0.6704,                0.27939,                 1.1647,                0.19337,                0.79714,             0.00027837,             0.00027837,             0.00027837
                    100,                0.42563,                 1.2737,                0.27228,                0.82969,                0.99372,                0.98598,                0.99241,                0.96329,                0.97178,                0.96455,                 0.9738,                0.67048,                0.27863,                 1.1644,                0.19278,                0.79701,             0.00027469,             0.00027469,             0.00027469
                    101,                0.43008,                 1.2741,                0.27522,                0.82937,                 0.9943,                0.98515,                0.99241,                0.96333,                0.97234,                0.96404,                0.97384,                0.67056,                0.27805,                 1.1641,                 0.1921,                0.79683,               0.000271,               0.000271,               0.000271
                    102,                0.42835,                 1.2721,                0.27286,                0.83026,                0.99447,                0.98464,                0.99241,                0.96373,                0.97242,                0.96319,                0.97377,                0.67118,                0.27686,                 1.1636,                0.19109,                0.79665,              0.0002673,              0.0002673,              0.0002673
                    103,                0.42195,                 1.2621,                0.27032,                0.82833,                0.99401,                0.98509,                 0.9922,                 0.9636,                0.97225,                 0.9638,                0.97396,                0.67123,                0.27576,                 1.1643,                0.19183,                 0.7964,              0.0002636,              0.0002636,              0.0002636
                    104,                 0.4233,                 1.2636,                0.27121,                0.82943,                0.99288,                0.98649,                0.99219,                0.96388,                0.97105,                0.96507,                0.97395,                 0.6719,                0.27512,                 1.1642,                  0.191,                0.79631,              0.0002599,              0.0002599,              0.0002599
