                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                0.60095,                0.35939,                 1.0357,                 0.9754,                0.91756,                 0.9678,                0.87498,                 0.4548,                0.27436,                0.93529,             0.00038512,             0.00038512,             0.00038512
                     66,                0.59781,                0.35515,                 1.0317,                0.97536,                0.91805,                0.96814,                0.87571,                0.45396,                0.27336,                0.93424,             0.00038182,             0.00038182,             0.00038182
                     67,                0.59671,                0.35481,                 1.0308,                0.97442,                0.91794,                0.96923,                0.87624,                0.45347,                0.27255,                0.93336,             0.00037849,             0.00037849,             0.00037849
                     68,                0.60002,                0.35379,                 1.0316,                0.97421,                0.91804,                0.96937,                0.87636,                 0.4539,                0.27169,                0.93284,             0.00037513,             0.00037513,             0.00037513
                     69,                0.58893,                0.34976,                 1.0304,                 0.9738,                0.91858,                0.96938,                0.87656,                0.45301,                0.27124,                0.93199,             0.00037173,             0.00037173,             0.00037173
                     70,                0.59381,                0.35206,                 1.0274,                0.97378,                0.91892,                0.96943,                0.87716,                0.45224,                0.27018,                0.93111,             0.00036831,             0.00036831,             0.00036831
                     71,                0.58302,                0.34642,                 1.0242,                0.97177,                0.91919,                0.96978,                0.87767,                0.45175,                0.26932,                0.93012,             0.00036486,             0.00036486,             0.00036486
                     72,                0.58355,                0.34599,                 1.0228,                0.96967,                0.91959,                0.96981,                0.87786,                0.45152,                0.26845,                 0.9292,             0.00036138,             0.00036138,             0.00036138
                     73,                0.58375,                  0.344,                  1.023,                0.96653,                0.92128,                0.97169,                0.87943,                0.45178,                0.26798,                 0.9287,             0.00035788,             0.00035788,             0.00035788
                     74,                0.57943,                  0.342,                 1.0227,                0.96667,                0.92158,                0.97405,                0.88068,                0.45141,                0.26741,                0.92791,             0.00035435,             0.00035435,             0.00035435
                     75,                0.57733,                0.34028,                 1.0226,                 0.9651,                0.92309,                0.97653,                0.88256,                0.45102,                0.26678,                0.92736,             0.00035079,             0.00035079,             0.00035079
                     76,                0.57031,                0.33641,                 1.0176,                0.94207,                0.95055,                0.97649,                0.88271,                0.45104,                0.26613,                0.92662,             0.00034721,             0.00034721,             0.00034721
                     77,                0.57293,                0.33655,                 1.0186,                0.94672,                0.97437,                0.97648,                0.88215,                0.45056,                0.26543,                0.92583,             0.00034361,             0.00034361,             0.00034361
                     78,                0.56847,                0.33506,                 1.0155,                0.96994,                0.94886,                 0.9836,                0.88758,                0.45033,                0.26475,                0.92517,             0.00033999,             0.00033999,             0.00033999
                     79,                0.57026,                0.33319,                 1.0145,                0.97026,                0.95093,                0.98341,                0.88758,                 0.4494,                0.26411,                0.92437,             0.00033634,             0.00033634,             0.00033634
                     80,                0.56956,                0.33188,                 1.0118,                0.97039,                0.95181,                0.98319,                0.88682,                 0.4496,                0.26348,                0.92386,             0.00033267,             0.00033267,             0.00033267
                     81,                0.56206,                0.33024,                 1.0125,                0.97066,                 0.9523,                0.98324,                0.88767,                0.44916,                0.26301,                0.92317,             0.00032898,             0.00032898,             0.00032898
                     82,                  0.554,                0.32555,                 1.0103,                0.97071,                0.95193,                0.98325,                0.88752,                0.44879,                0.26221,                0.92248,             0.00032527,             0.00032527,             0.00032527
                     83,                0.55935,                0.32751,                  1.008,                0.97063,                0.95337,                0.98326,                0.88475,                0.44824,                 0.2616,                 0.9217,             0.00032155,             0.00032155,             0.00032155
                     84,                0.55415,                0.32532,                 1.0072,                0.97212,                0.97475,                0.98328,                0.88539,                0.44763,                0.26062,                0.92093,             0.00031781,             0.00031781,             0.00031781
                     85,                0.55075,                0.32176,                 1.0024,                0.96925,                0.97503,                0.98335,                0.88611,                0.44804,                0.26003,                 0.9204,             0.00031405,             0.00031405,             0.00031405
                     86,                0.55543,                0.32403,                 1.0066,                0.96911,                0.97511,                0.98338,                0.88671,                0.44763,                0.25942,                0.91985,             0.00031028,             0.00031028,             0.00031028
