                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                0.11424,                0.04253,                0.04052,                0.18972,                 1.2354,                      1,                      1,                  0.995,                0.90977,                      1,                      1,                  0.995,                0.99448,                0.19047,                0.04681,                0.00112,                  0.221,                   1.19,             9.6745e-05,             9.6745e-05,             9.6745e-05
                     34,                0.11278,                0.04144,                0.03575,                0.18731,                 1.2346,                 0.9998,                      1,                  0.995,                0.95518,                 0.9998,                      1,                  0.995,                0.99466,                0.11714,                0.04564,                 0.0005,                 0.1898,                 1.1396,             9.6541e-05,             9.6541e-05,             9.6541e-05
                     35,                0.11482,                0.04234,                0.04065,                0.18807,                 1.2296,                      1,                      1,                  0.995,                0.93619,                      1,                      1,                  0.995,                0.99465,                0.14907,                0.04665,                0.00029,                0.20162,                 1.1627,             9.6331e-05,             9.6331e-05,             9.6331e-05
                     36,                0.11264,                0.04431,                0.03925,                0.18657,                 1.2207,                      1,                      1,                  0.995,                0.92814,                      1,                      1,                  0.995,                0.99453,                0.16413,                0.04804,                0.00072,                0.20744,                 1.1695,             9.6115e-05,             9.6115e-05,             9.6115e-05
                     37,                0.11624,                0.04126,                0.03714,                0.18556,                  1.232,                      1,                      1,                  0.995,                0.94354,                      1,                      1,                  0.995,                0.99447,                0.13827,                0.04548,                0.00041,                0.19532,                 1.1484,             9.5893e-05,             9.5893e-05,             9.5893e-05
                     38,                0.11628,                0.04132,                0.03317,                0.18545,                 1.2268,                      1,                      1,                  0.995,                0.95318,                      1,                      1,                  0.995,                0.99458,                0.12867,                0.04629,                0.00044,                0.18966,                  1.139,             9.5666e-05,             9.5666e-05,             9.5666e-05
                     39,                0.11979,                0.04469,                0.03451,                0.18588,                 1.2276,                0.99981,                      1,                  0.995,                0.90257,                0.99981,                      1,                  0.995,                0.99436,                0.21975,                0.04683,                0.00038,                0.21798,                 1.1992,             9.5432e-05,             9.5432e-05,             9.5432e-05
                     40,                0.11755,                0.04449,                0.03778,                0.18298,                 1.2242,                0.99985,                      1,                  0.995,                0.93906,                0.99985,                      1,                  0.995,                0.99413,                0.16906,                0.04463,                0.00044,                0.19952,                 1.1571,             9.5193e-05,             9.5193e-05,             9.5193e-05
                     41,                0.11944,                0.04187,                0.03617,                 0.1842,                 1.2251,                0.99704,                      1,                  0.995,                 0.9339,                0.99704,                      1,                  0.995,                0.99423,                0.17674,                 0.0466,                0.00053,                 0.2025,                 1.1581,             9.4948e-05,             9.4948e-05,             9.4948e-05
                     42,                0.12503,                0.04279,                0.03251,                0.18405,                 1.2256,                0.99947,                      1,                  0.995,                0.92948,                0.99947,                      1,                  0.995,                0.99444,                0.19391,                0.04622,                0.00085,                0.20538,                 1.1659,             9.4697e-05,             9.4697e-05,             9.4697e-05
                     43,                0.12835,                0.04743,                0.03904,                0.18723,                 1.2272,                0.99962,                      1,                  0.995,                 0.9401,                0.99962,                      1,                  0.995,                0.99442,                0.16598,                0.04592,                0.00042,                0.19815,                 1.1516,              9.444e-05,              9.444e-05,              9.444e-05
                     44,                 0.1233,                 0.0421,                0.03724,                0.18095,                 1.2189,                      1,                      1,                  0.995,                0.94477,                      1,                      1,                  0.995,                0.99446,                0.16277,                0.04486,                0.00079,                0.19505,                 1.1476,             9.4178e-05,             9.4178e-05,             9.4178e-05
                     45,                0.12418,                0.03953,                 0.0413,                0.18166,                 1.2192,                0.99982,                      1,                  0.995,                0.94365,                0.99982,                      1,                  0.995,                0.99444,                0.16447,                0.04493,                0.00074,                0.19291,                 1.1468,              9.391e-05,              9.391e-05,              9.391e-05
                     46,                0.13321,                 0.0411,                0.04084,                 0.1835,                  1.219,                      1,                      1,                  0.995,                0.95085,                      1,                      1,                  0.995,                0.99454,                0.15876,                0.04424,                0.00055,                0.18967,                 1.1414,             9.3636e-05,             9.3636e-05,             9.3636e-05
                     47,                0.13858,                0.04491,                0.03976,                  0.187,                 1.2238,                      1,                      1,                  0.995,                0.92577,                      1,                      1,                  0.995,                0.99454,                0.20727,                0.04359,                0.00052,                 0.2061,                 1.1655,             9.3357e-05,             9.3357e-05,             9.3357e-05
                     48,                0.13334,                0.04052,                0.03257,                0.18325,                 1.2214,                0.99984,                      1,                  0.995,                 0.9417,                0.99984,                      1,                  0.995,                 0.9945,                0.17539,                0.04356,                 0.0004,                0.19679,                 1.1486,             9.3072e-05,             9.3072e-05,             9.3072e-05
                     49,                0.13345,                0.04214,                0.03609,                0.18225,                  1.225,                0.99969,                      1,                  0.995,                0.94458,                0.99969,                      1,                  0.995,                0.99443,                0.17375,                0.04428,                0.00033,                0.19367,                 1.1469,             9.2782e-05,             9.2782e-05,             9.2782e-05
                     50,                0.14132,                0.04404,                0.03823,                 0.1851,                  1.223,                0.99978,                      1,                  0.995,                0.94266,                0.99978,                      1,                  0.995,                0.99448,                0.18189,                0.04469,                0.00045,                  0.195,                 1.1462,             9.2487e-05,             9.2487e-05,             9.2487e-05
