                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.67555,                 1.4531,                0.43268,                 1.0261,                0.96428,                0.98332,                0.98794,                0.87157,                 0.9598,                0.97879,                0.98504,                0.76324,                0.48692,                 1.0703,                 0.3194,                0.91064,             0.00046749,             0.00046749,             0.00046749
                     35,                0.66767,                 1.4439,                0.42429,                 1.0265,                0.96545,                0.98245,                0.98723,                0.87127,                0.96041,                0.97734,                0.98382,                0.76638,                0.48719,                  1.065,                0.31752,                0.90755,             0.00046553,             0.00046553,             0.00046553
                     36,                0.67404,                 1.4434,                0.42565,                 1.0213,                0.96992,                0.97992,                 0.9869,                0.87431,                0.96562,                0.97563,                0.98403,                0.76992,                0.49587,                 1.0718,                0.31546,                 0.9073,             0.00046353,             0.00046353,             0.00046353
                     37,                0.66358,                 1.4364,                0.41745,                 1.0159,                0.97091,                0.97822,                0.98713,                 0.8704,                0.96536,                0.97365,                0.98421,                0.77086,                0.49059,                 1.0636,                0.31111,                0.90603,             0.00046147,             0.00046147,             0.00046147
                     38,                0.65868,                 1.4274,                0.41284,                 1.0137,                0.97996,                0.97553,                0.98714,                0.87579,                0.97412,                0.96987,                0.98338,                0.77077,                0.48541,                 1.0615,                0.30763,                0.90216,             0.00045936,             0.00045936,             0.00045936
                     39,                0.65681,                 1.4174,                0.41162,                 1.0108,                0.97558,                0.97386,                0.98732,                 0.8785,                0.97532,                0.97371,                0.98521,                0.77166,                0.47892,                 1.0598,                0.30682,                0.89825,              0.0004572,              0.0004572,              0.0004572
                     40,                0.65211,                 1.4023,                 0.4065,                 1.0066,                0.97413,                0.97407,                0.98641,                0.87886,                0.96828,                0.96838,                0.98258,                0.76762,                0.47456,                 1.0604,                0.30365,                0.89552,             0.00045499,             0.00045499,             0.00045499
                     41,                 0.6573,                 1.4099,                0.40851,                 1.0089,                0.96819,                0.97595,                0.98681,                0.88178,                0.96193,                0.96981,                0.98304,                0.76884,                0.47296,                 1.0604,                0.30261,                0.89525,             0.00045273,             0.00045273,             0.00045273
                     42,                0.64764,                 1.4037,                0.40312,                 1.0018,                0.97166,                 0.9742,                0.98679,                0.88368,                0.96516,                0.96783,                0.98291,                 0.7682,                0.46836,                 1.0557,                0.30037,                0.89492,             0.00045042,             0.00045042,             0.00045042
                     43,                0.64678,                 1.3853,                0.39956,                  1.002,                0.97269,                0.97489,                0.98565,                0.88332,                0.96659,                0.96892,                0.98208,                0.77092,                0.47145,                 1.0526,                0.30027,                0.89488,             0.00044806,             0.00044806,             0.00044806
                     44,                0.63494,                 1.3868,                 0.3958,                 1.0006,                0.97514,                0.97472,                0.98622,                 0.8829,                 0.9691,                0.96881,                0.98236,                0.77201,                0.47444,                 1.0502,                0.29844,                0.89417,             0.00044566,             0.00044566,             0.00044566
                     45,                0.63554,                 1.3804,                0.39194,                0.99457,                0.97794,                0.97467,                0.98646,                 0.8799,                 0.9719,                0.96877,                0.98242,                0.77196,                0.47404,                 1.0483,                0.29794,                0.89232,              0.0004432,              0.0004432,              0.0004432
                     46,                0.64359,                 1.3807,                0.39413,                 0.9978,                0.97604,                0.97509,                0.98845,                0.87962,                0.97144,                 0.9706,                0.98498,                 0.7718,                0.47286,                 1.0473,                0.29555,                0.89092,              0.0004407,              0.0004407,              0.0004407
                     47,                0.63108,                 1.3771,                0.38896,                0.99291,                0.96064,                0.97396,                0.98359,                0.87844,                0.95627,                0.96968,                0.98031,                0.77083,                0.47172,                 1.0432,                0.29404,                0.88969,             0.00043815,             0.00043815,             0.00043815
                     48,                0.63167,                 1.3666,                0.38484,                0.99438,                0.96098,                0.97438,                0.98375,                0.87981,                0.95664,                0.97014,                0.98072,                0.76914,                0.47151,                 1.0387,                0.29279,                0.88879,             0.00043556,             0.00043556,             0.00043556
                     49,                0.62232,                 1.3649,                0.37957,                 0.9856,                0.97374,                0.97671,                0.98915,                0.88324,                0.96965,                0.97272,                0.98648,                 0.7711,                0.47004,                 1.0339,                0.28988,                0.88763,             0.00043292,             0.00043292,             0.00043292
                     50,                0.62651,                 1.3532,                0.37944,                0.98564,                0.97084,                0.97629,                0.98912,                0.88251,                0.96631,                0.97187,                0.98595,                0.77192,                0.46777,                 1.0317,                0.28703,                0.88617,             0.00043024,             0.00043024,             0.00043024
                     51,                0.62642,                 1.3556,                0.38161,                0.98488,                0.97945,                0.97764,                0.98885,                0.88295,                0.97467,                0.97293,                0.98583,                0.77531,                0.46619,                 1.0292,                0.28522,                0.88496,             0.00042751,             0.00042751,             0.00042751
                     52,                0.61046,                 1.3457,                0.37375,                0.97897,                0.97988,                 0.9765,                0.98912,                0.88402,                0.97509,                 0.9718,                0.98599,                0.77428,                0.46474,                 1.0273,                0.28479,                0.88366,             0.00042474,             0.00042474,             0.00042474
                     53,                0.60837,                 1.3498,                0.37093,                0.97885,                0.97867,                0.97502,                 0.9894,                0.88492,                0.97425,                0.97067,                0.98631,                0.77472,                0.46455,                 1.0253,                 0.2838,                0.88278,             0.00042193,             0.00042193,             0.00042193
                     54,                0.61463,                 1.3449,                0.37211,                0.97903,                0.97934,                0.98397,                0.98939,                 0.8873,                0.97493,                0.97979,                0.98647,                0.77575,                0.46322,                 1.0244,                0.28308,                0.88213,             0.00041907,             0.00041907,             0.00041907
                     55,                0.61193,                 1.3337,                 0.3685,                 0.9789,                0.97946,                0.97446,                0.98927,                0.88736,                0.97488,                0.96997,                0.98625,                0.77755,                0.46293,                 1.0223,                0.28242,                0.88148,             0.00041617,             0.00041617,             0.00041617
                     56,                0.59947,                 1.3289,                0.36419,                0.96951,                0.97919,                0.98376,                0.98933,                0.88904,                0.97386,                   0.98,                0.98629,                0.77692,                0.46215,                 1.0208,                0.28167,                0.88003,             0.00041324,             0.00041324,             0.00041324
                     57,                0.60148,                 1.3338,                0.36508,                 0.9742,                0.97998,                0.97484,                0.98963,                0.88631,                0.97518,                0.97014,                0.98661,                0.77822,                0.46171,                  1.019,                0.28132,                0.87905,             0.00041026,             0.00041026,             0.00041026
                     58,                0.60378,                 1.3257,                0.36383,                0.97207,                0.97509,                0.98791,                0.98982,                0.88773,                0.97205,                 0.9819,                0.98672,                0.77784,                0.46063,                 1.0179,                0.28029,                0.87814,             0.00040725,             0.00040725,             0.00040725
                     59,                0.59616,                 1.3208,                0.36061,                0.96716,                0.97573,                0.98673,                0.98981,                0.88821,                0.97025,                0.98349,                0.98679,                0.77785,                0.45977,                 1.0174,                0.27937,                0.87716,             0.00040419,             0.00040419,             0.00040419
                     60,                 0.5924,                 1.3224,                0.35972,                0.96777,                0.97819,                 0.9853,                0.98966,                0.88806,                0.97365,                0.98064,                0.98658,                0.77794,                 0.4586,                 1.0167,                0.27832,                0.87619,              0.0004011,              0.0004011,              0.0004011
                     61,                0.59808,                 1.3113,                0.35708,                0.96815,                0.97883,                0.98283,                0.98938,                0.88835,                0.97454,                0.97845,                0.98637,                0.77823,                0.45847,                 1.0151,                0.27731,                0.87547,             0.00039798,             0.00039798,             0.00039798
                     62,                0.59172,                 1.3166,                0.35703,                0.96481,                0.97722,                0.98598,                 0.9894,                0.88856,                 0.9746,                0.98037,                0.98638,                 0.7787,                0.45798,                 1.0148,                0.27663,                0.87488,             0.00039481,             0.00039481,             0.00039481
                     63,                0.58319,                 1.2969,                 0.3523,                 0.9595,                 0.9795,                0.98434,                0.98948,                0.88851,                 0.9755,                0.98025,                0.98647,                0.77894,                0.45814,                 1.0143,                0.27612,                0.87432,             0.00039162,             0.00039162,             0.00039162
                     64,                0.58414,                 1.3111,                0.35114,                0.96107,                0.97942,                0.98476,                0.98949,                0.88904,                0.97532,                0.98073,                0.98651,                0.77972,                0.45807,                 1.0126,                0.27581,                0.87367,             0.00038838,             0.00038838,             0.00038838
                     65,                0.58297,                 1.3075,                0.34895,                 0.9587,                0.97894,                0.98544,                0.98959,                0.88946,                0.97488,                0.98138,                0.98662,                0.78034,                0.45759,                 1.0111,                0.27511,                0.87286,             0.00038512,             0.00038512,             0.00038512
                     66,                0.57486,                  1.294,                 0.3457,                0.95326,                0.97962,                0.98522,                0.98982,                0.89084,                0.97419,                0.98201,                0.98691,                0.78118,                0.45665,                 1.0099,                0.27416,                0.87229,             0.00038182,             0.00038182,             0.00038182
                     67,                0.57465,                 1.2892,                0.34403,                0.95208,                0.97662,                0.98669,                0.98984,                0.89197,                0.97239,                0.98241,                0.98694,                0.78094,                0.45599,                  1.009,                0.27368,                0.87154,             0.00037849,             0.00037849,             0.00037849
                     68,                 0.5784,                 1.2875,                0.34456,                0.95485,                0.97623,                0.98742,                0.98996,                0.89179,                0.97222,                0.98336,                0.98715,                0.78074,                0.45578,                 1.0075,                0.27299,                  0.871,             0.00037513,             0.00037513,             0.00037513
                     69,                 0.5707,                  1.292,                0.34154,                0.95191,                0.98014,                0.98056,                0.98878,                0.89306,                 0.9763,                0.97672,                0.98601,                0.78394,                0.45515,                  1.007,                0.27181,                 0.8708,             0.00037173,             0.00037173,             0.00037173
                     70,                0.57396,                 1.2901,                0.34324,                0.95345,                0.97502,                0.98822,                0.99009,                0.89319,                0.97159,                0.98416,                0.98731,                0.78412,                0.45406,                 1.0077,                0.27086,                0.87017,             0.00036831,             0.00036831,             0.00036831
                     71,                 0.5633,                 1.2763,                0.33866,                0.94981,                0.97498,                0.98801,                0.98999,                0.89368,                0.97144,                0.98438,                0.98755,                0.78422,                0.45388,                 1.0069,                0.26975,                0.87031,             0.00036486,             0.00036486,             0.00036486
