                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.52812,                 1.4534,                0.34081,                0.91518,                 0.9862,                0.98445,                0.99225,                0.93172,                0.96455,                0.96219,                 0.9665,                0.65618,                0.38325,                 1.2215,                0.29938,                0.83741,             0.00021728,             0.00021728,             0.00021728
                     62,                0.52663,                 1.4472,                0.34011,                0.91275,                0.98587,                0.98486,                0.99246,                0.93171,                0.96434,                0.96275,                0.96679,                0.65653,                0.38167,                 1.2206,                0.29879,                0.83653,              0.0002103,              0.0002103,              0.0002103
                     63,                0.52256,                 1.4395,                0.33713,                0.91226,                0.98677,                0.98455,                0.99257,                0.93189,                0.96452,                0.96268,                0.96687,                0.65718,                0.38024,                 1.2188,                0.29883,                 0.8356,             0.00020335,             0.00020335,             0.00020335
                     64,                0.52037,                 1.4391,                0.33572,                0.91059,                0.98608,                0.98493,                0.99261,                0.93195,                0.96386,                0.96279,                0.96689,                0.65808,                0.37918,                 1.2178,                0.29717,                0.83467,             0.00019644,             0.00019644,             0.00019644
                     65,                  0.519,                 1.4347,                0.33371,                0.90966,                0.98677,                0.98542,                0.99256,                0.93285,                0.96449,                0.96347,                0.96702,                0.65806,                0.37765,                 1.2151,                0.29619,                 0.8336,             0.00018958,             0.00018958,             0.00018958
                     66,                0.51845,                 1.4304,                 0.3326,                 0.9079,                0.98722,                0.98586,                0.99265,                 0.9331,                0.96573,                0.96466,                0.96745,                0.65867,                 0.3761,                  1.215,                0.29638,                0.83246,             0.00018277,             0.00018277,             0.00018277
                     67,                0.51246,                 1.4321,                0.33016,                0.90825,                0.98749,                0.98629,                0.99274,                0.93392,                0.96627,                0.96461,                0.96751,                0.65906,                0.37489,                 1.2146,                0.29597,                 0.8317,             0.00017602,             0.00017602,             0.00017602
                     68,                0.51323,                 1.4228,                0.32989,                0.90622,                0.98761,                0.98662,                0.99285,                0.93432,                0.96664,                0.96368,                0.96749,                0.65946,                0.37322,                 1.2133,                0.29577,                0.83072,             0.00016933,             0.00016933,             0.00016933
                     69,                0.50973,                 1.4194,                0.32718,                0.90554,                 0.9872,                0.98709,                 0.9929,                0.93432,                0.96715,                0.96417,                0.96781,                0.65966,                0.37202,                 1.2125,                0.29614,                0.82978,             0.00016271,             0.00016271,             0.00016271
                     70,                0.50713,                  1.409,                0.32451,                0.90272,                0.98743,                0.98718,                0.99291,                0.93523,                0.96626,                  0.966,                0.96784,                0.65966,                0.37086,                 1.2119,                0.29469,                0.82888,             0.00015616,             0.00015616,             0.00015616
                     71,                0.50521,                 1.4058,                0.32373,                0.90385,                0.98743,                 0.9863,                0.99304,                0.93529,                0.96675,                0.96416,                0.96791,                0.65999,                0.36962,                 1.2104,                0.29311,                0.82803,             0.00014968,             0.00014968,             0.00014968
                     72,                0.50233,                 1.4102,                0.32276,                0.90092,                0.98757,                0.98559,                0.99305,                0.93543,                0.96634,                 0.9644,                0.96813,                0.66012,                0.36868,                 1.2104,                0.29156,                0.82721,              0.0001433,              0.0001433,              0.0001433
